#SourceId,RA[deg],Dec[deg],Remarks
GaiaDR3-ULENS-326,266.6457,-33.6365,BLG603.28.35150 KMT-2016-BLG-2061 
GaiaDR3-ULENS-329,270.2593,-26.3849,BLG646.15.2528 OGLE-2015-BLG-0925 
GaiaDR3-ULENS-330,173.2937,-61.8897,GD1338.14.2320 
GaiaDR3-ULENS-331,264.9230,-27.6782,BLG675.14.31799 OGLE-2016-BLG-1475 KMT-2016-BLG-0970 
GaiaDR3-ULENS-333,239.6171,-55.1229,GD1157.14.5178 
GaiaDR3-ULENS-334,186.9168,-65.1817,GD1304.23.13626 
GaiaDR3-ULENS-335,268.1281,-22.6483,BLG638.18.94340 OGLE-2016-BLG-0053 
GaiaDR3-ULENS-336,278.3416,-20.0957,BLG563.14.46178 
GaiaDR3-ULENS-337,216.6410,-57.1028,GD1227.05.19355 
GaiaDR3-ULENS-339,213.1949,-59.5612,GD1242.02.14463 Gaia16aua 
GaiaDR3-ULENS-340,241.3674,-54.8081,GD1149.07.11095 
GaiaDR3-ULENS-341,269.4667,-37.9832,BLG537.12.70927 
GaiaDR3-ULENS-342,267.1631,-32.8567,BLG660.17.94309 OGLE-2017-BLG-0817 KMT-2017-BLG-0871 
GaiaDR3-ULENS-343,267.8664,-33.1352,BLG502.29.100629 OGLE-2017-BLG-0095 MOA-2017-BLG-160 KMT-2017-BLG-1123 
GaiaDR3-ULENS-344,266.4129,-23.2556,BLG632.21.71948 OGLE-2017-BLG-0563 KMT-2017-BLG-1073 
GaiaDR3-ULENS-345,258.4762,-29.6099,BLG617.24.41328 OGLE-2016-BLG-0231 
GaiaDR3-ULENS-346,268.2802,-22.4709,BLG642.16.64346 
GaiaDR3-ULENS-347,263.0133,-36.6151,BLG672.22.32355 OGLE-2015-BLG-1558 
GaiaDR3-ULENS-348,263.6467,-28.2435,BLG653.30.92569 OGLE-2015-BLG-0191 
GaiaDR3-ULENS-350,256.0464,-35.4190,BLG900.29.16170 
GaiaDR3-ULENS-351,268.6305,-23.2845,BLG643.23.58194 OGLE-2015-BLG-1555 
GaiaDR3-ULENS-353,267.6884,-34.2448,BLG503.30.103160 OGLE-2017-BLG-0145 MOA-2017-BLG-095 KMT-2017-BLG-2618 
GaiaDR3-ULENS-354,239.8515,-55.6006,GD1158.31.47588 
GaiaDR3-ULENS-355,219.3881,-62.7202,GD1232.17.23871 
GaiaDR3-ULENS-356,259.5160,-29.9342,BLG617.09.66418 
GaiaDR3-ULENS-359,265.1614,-35.9310,BLG610.20.3895 OGLE-2016-BLG-1408 KMT-2016-BLG-1630 
GaiaDR3-ULENS-361,240.2786,-54.1546,GD1156.03.7788 
GaiaDR3-ULENS-362,254.7068,-48.4277,GD1092.18.44649 
GaiaDR3-ULENS-363,266.9194,-25.0204,BLG633.01.52040 OGLE-2017-BLG-0116 KMT-2017-BLG-1029 
